song, artist         num_plays
Pow Pow, ALICE          3
Girl on Fire, Alicia Keys          3
I'm Your Girl ?, KHAN          3
Sexy Bitch (feat. Akon), David Guetta          3
Wow., Post Malone          3
You Calling My Name, GOT7          3
High Heels, CLC          3
If I Can't Have You, Shawn Mendes          3
NINETEEN, NATTY          3
new, LOONA          3
완전 미쳤네 - Korean Version, T-ARA          3
You Make Me Feel... (feat. Sabi), Cobra Starship          3
HIT, SEVENTEEN          3
BIRTHDAY, JEON SOMI          3
When I Grow Up, The Pussycat Dolls          3
Butterfly, LOONA          3
Why, TAEYEON          3
Sleepless Night, 9MUSES          3
Rise As One - MAX Solo, TVXQ!          3
My Type, Saweetie          3
Break My Heart, Dua Lipa          3
Lucky One, EXO          3
Devil, CLC          3
Love Shot, EXO          3
Save Me, Save You, WJSN          3
Style, Taylor Swift          3
We Are Never Ever Getting Back Together, Taylor Swift          3
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault), Taylor Swift          3
Siren, TAEYEON          3
Cold As Hell, TAEYEON          3
Timeless, TAEYEON          3
You Better Not, TAEYEON          3
Wiggle (feat. Snoop Dogg), Jason Derulo          3
Instruction (feat. Demi Lovato & Stefflon Don), Jax Jones          3
the 1, Taylor Swift          3
Cruel Summer, Taylor Swift          3
Bing Bing, Red Velvet          3
왠지 Somehow, DIA          3
STEP BY STEP, OH MY GIRL          3
Fool, Red Velvet          3
