artist         num_plays
Cousin Stizz          1
Kstylis          1
SUNNYSIDEMJ          1
Bobby Helms          1
TobyMac          1
Jean Petri          1
Win and Woo          1
Ansel Elgort          1
Sunwoojunga          1
Cameron Dallas          1
Peach Tree Rascals          1
Lynyrd Skynyrd          1
Jordi Savall          1
Streetlight Cadence          1
JUNE          1
Luke Christopher          1
Mykola Dmytrovych Leontovych          1
Moon Byul          1
Zeds Dead          1
Greyson Chance          1
D.O.          1
Mac Miller          1
Octave Rivière          1
Judithe Abelsen          1
myB (마이비)          1
John Ocean          1
LUCHS          1
Gorillaz          1
Lake Street Dive          1
Olivier Messiaen          1
IzzyIzTrash          1
Rachel House          1
Abhi The Nomad          1
John Denver          1
Zak Brady          1
JONGHYUN          1
Jimmy Eat World          1
Alina Baraz          1
Josep Alba          1
JP Saxe          1
Vilhelm Brandt          1
LIM KIM          1
Candace          1
Leah Maur          1
NOTD          1
H.E.R.          1
Quintino          1
blackbear          1
Daniel Payson-Lewis          1
Jupiter Grains          1
Franz Ferdinand          1
I Don't Like Mondays.          1
MARINA          1
The Neighbourhood          1
Blue Swede          1
Hilder Sky          1
K/DA          1
CHANYEOL          1
High School Musical Cast          1
Nicky Youre          1
nokdu          1
Lori Dulac          1
Young Money          1
shy martin          1
21 Savage          1
Scott Bradlee's Postmodern Jukebox          1
Bow Wow          1
Michael Wong          1
RYEOWOOK          1
Antologie          1
Relajar          1
Duke Dumont          1
Artemio Li Fonti          1
lev          1
Dreamscaper          1
RBL Posse          1
Idzi Kowalczyk          1
BamBam          1
Lost Kings          1
Antoine Minot          1
Daniel Bedingfield          1
A Boogie Wit da Hoodie          1
Larry The Cable Guy          1
Nause          1
Dosbomb.          1
Chuck Berry          1
RKCB          1
Aaryn Doyle          1
HONNE          1
CNBLUE          1
The Elliott Brothers          1
Wayne Allwine          1
Gracie Abrams          1
Mamie Smith          1
Aguava          1
Five For Fighting          1
Rick Clark          1
Paloma Faith          1
Ronald Sims          1
George Ezra          1
Big Wild          1
Gioachino Rossini          1
Tsundere Labs Inc          1
Zac Efron          1
Blackstreet          1
WOODZ          1
Joel Adams          1
Ola Gjeilo          1
DAVICHI          1
5 Seconds of Summer          1
Aqua          1
MGMT          1
Nicole Scherzinger          1
Faith Hill          1
Jordan Francis          1
State of Sound          1
Blueface          1
Omotesando          1
Martin Jensen          1
The Beach Boys          1
Drake Bell          1
DeVita          1
Matchbox Twenty          1
Toledo Rains          1
Nils Frahm          1
Sisqo          1
Muzio Clementi          1
Fiji Blue          1
Tom Misch          1
The Kinks          1
Vindata          1
Gabriela Richardson          1
Ben Woodward          1
Black Coast          1
Ozuna          1
Clyde Boudreaux          1
Sam Ock          1
Vai Mahina          1
JJ Lin          1
Joseph Haydn          1
Diddy          1
Campsite Dream          1
Dimitri Vegas & Like Mike          1
The Afters          1
Sugababes          1
Delle Alpi          1
LUCY          1
Bastille          1
xerLK          1
Capital Cities          1
Grey          1
An Coong          1
Jager          1
Hushed          1
Jimi Hendrix          1
Edvard Grieg          1
Kyary Pamyu Pamyu          1
Momoko Kikuchi          1
Natalie La Rose          1
Men I Trust          1
Seeb          1
half•alive          1
Cody Simpson          1
YESUNG          1
Kriesha Chu          1
BOYFRIEND          1
Good Night World          1
SECHSKIES          1
Kate Bush          1
Carrie Underwood          1
Mr. Carmack          1
Cellophane Roses          1
B2K          1
Jodeci          1
KozyPop          1
X Ambassadors          1
BAYLI          1
The Montgomery Gospel Trio, The Nashville Quartet, and Guy Carawan          1
DJ Edm          1
ONF          1
Aimer          1
Imaginary Future          1
Seven Lions          1
KYUL          1
Minik Knudsen          1
Steve Anderson          1
Stwo          1
AMBER          1
Olivia Holt          1
divin’          1
Gavin DeGraw          1
BoyWithUke          1
Lil Peep          1
THAMA          1
Michael-Leon Wooley          1
Late Era          1
Chieloka          1
The Wanted          1
Echosmith          1
Crayon Pop          1
INO hidefumi          1
Aminé          1
2nd South Carolina String Band          1
Aleksandir          1
Elle Varner          1
Kassy          1
Dean Lewis          1
DAY6 (Even of Day)          1
Saturday          1
Wandl          1
Wilhelm          1
THIEVES          1
SEOHYUN          1
Sam Fischer          1
SISTAR19          1
Lizzy McAlpine          1
EPO          1
Fall Out Boy          1
WABLE          1
Free Nationals          1
Bob Chilcott          1
Chymes          1
Lillias White          1
Grimes          1
Stolen Mech          1
Ryos          1
Machine Gun Kelly          1
Beyond The Bubble          1
The Only Star In The Sky          1
Anjulie          1
Vitamin String Quartet          1
Bea Miller          1
Anderson .Paak          1
